리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
1020,72,1025 독도 클렌저,명랑한앵무새515,복합성,"민감성, 모공",2026.09.13,4,촉촉해서 만족스러워요. 가격도 합리적이라 좋았어요.,"약산성, 촉촉함",3.91,https://drive.google.com/file/d/1Giq9JpOgHUyb6djtcGLJeh4J9PTPBFzt/view?usp=drive_link,,
1021,72,1025 독도 클렌저,엉뚱발랄한거북이404,중성,민감성,2026.06.21,4,'1025 독도 클렌저' 사용 후기예요. 촉촉해서 만족스러워요. 재구매 의사 있어요!,"약산성, 촉촉함",3.91,,,
1022,72,1025 독도 클렌저,새침한강아지309,건성,민감성,2025.11.27,3,촉촉해서 만족스러워요. 나쁘지 않아요.,"촉촉함, 약산성",3.91,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,,
1023,72,1025 독도 클렌저,촉촉한토끼229,지성,민감성,2026.02.15,5,다음에도 또 살 것 같아요.,"약산성, 촉촉함",3.91,,,
1024,72,1025 독도 클렌저,상큼한오리856,복합성,민감성,2025.12.07,5,'1025 독도 클렌저' 사용 후기예요. 추천하고 싶어요.,"촉촉함, 약산성",3.91,,,
1025,72,1025 독도 클렌저,몽글몽글한기린664,건성,민감성,2025.03.09,3,'1025 독도 클렌저' 사용 후기예요. 나쁘지 않아요.,"촉촉함, 약산성",3.91,,,
1026,72,1025 독도 클렌저,말랑한알파카76,지성,민감성,2025.06.13,4,촉촉해서 만족스러워요. 만족스러운 소비였어요.,"약산성, 촉촉함",3.91,https://drive.google.com/file/d/1Giq9JpOgHUyb6djtcGLJeh4J9PTPBFzt/view?usp=drive_link,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,
1027,72,1025 독도 클렌저,반짝이는얼룩말117,수부지,민감성,2025.10.12,4,'1025 독도 클렌저' 사용 후기예요. 촉촉해서 만족스러워요. 재구매 의사 있어요!,"촉촉함, 약산성",3.91,,,
1028,72,1025 독도 클렌저,느긋한강아지221,수부지,민감성,2025.10.11,4,촉촉해서 만족스러워요. 가격도 합리적이라 좋았어요.,"약산성, 촉촉함",3.91,,,
1029,72,1025 독도 클렌저,사랑스런하마235,지성,민감성,2025.12.13,4,'1025 독도 클렌저' 사용 후기예요.,"촉촉함, 약산성",3.91,https://drive.google.com/file/d/1U50mWqZlAtbwEhvEb0Ox450uTZTx8ocR/view?usp=drive_link,,
1030,72,1025 독도 클렌저,든든한호랑이229,중성,민감성,2026.08.16,5,다음에도 또 살 것 같아요.,"촉촉함, 약산성",3.91,,,
1031,72,1025 독도 클렌저,용감한알파카412,중성,민감성,2025.07.02,3,'1025 독도 클렌저' 사용 후기예요. 촉촉해서 만족스러워요. 나쁘지 않아요.,"촉촉함, 약산성",3.91,,,
1032,72,1025 독도 클렌저,소심한코알라129,지성,민감성,2026.02.17,5,촉촉해서 만족스러워요. 만족스러운 소비였어요.,"약산성, 촉촉함",3.91,,,
1033,72,1025 독도 클렌저,용감한여우1,복합성,민감성,2026.08.05,3,'1025 독도 클렌저' 사용 후기예요. 촉촉해서 만족스러워요.,"촉촉함, 약산성",3.91,,,
1034,73,딥 클린 폼 클렌저 수분초 히알루론 폼,부드러운라쿤62,건성,"민감성, 보습",2025.01.04,3,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요. 그냥 무난하게 쓰고 있어요.,"수분감, 촉촉함",4.23,https://drive.google.com/file/d/1rPo96rJLIfpdKl1RadKV5SeS8__68Plh/view?usp=drive_link,https://drive.google.com/file/d/1LTB4Pez0Lqho70rh1rpwBt1v5cWomPeB/view?usp=drive_link,
1035,73,딥 클린 폼 클렌저 수분초 히알루론 폼,명랑한수달858,수부지,보습,2025.08.18,5,촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 다음에도 또 살 것 같아요.,"수분감, 촉촉함",4.23,,,
1036,73,딥 클린 폼 클렌저 수분초 히알루론 폼,부드러운알파카875,수부지,민감성,2025.07.10,3,수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 그냥 무난하게 쓰고 있어요.,"촉촉함, 수분감",4.23,https://drive.google.com/file/d/1xQYqDKvYZflOX_IU0xHs2fZf6z9wRu2B/view?usp=drive_link,,
1037,73,딥 클린 폼 클렌저 수분초 히알루론 폼,행복한코알라845,건성,"보습, 민감성",2026.06.20,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요.,"촉촉함, 수분감",4.23,,,
1038,73,딥 클린 폼 클렌저 수분초 히알루론 폼,명랑한곰돌이449,수부지,"보습, 민감성",2025.08.10,3,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 그냥 무난하게 쓰고 있어요.,"수분감, 촉촉함",4.23,,,
1039,73,딥 클린 폼 클렌저 수분초 히알루론 폼,부지런한곰돌이123,수부지,"보습, 민감성",2025.09.01,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 재구매 의사 있어요!,"수분감, 촉촉함",4.23,https://drive.google.com/file/d/1rPo96rJLIfpdKl1RadKV5SeS8__68Plh/view?usp=drive_link,,
1040,73,딥 클린 폼 클렌저 수분초 히알루론 폼,활발한여우296,수부지,"민감성, 피지/블랙헤드",2026.05.29,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요. 추천하고 싶어요.,"촉촉함, 수분감",4.23,,,
1041,73,딥 클린 폼 클렌저 수분초 히알루론 폼,배부른다람쥐480,건성,"보습, 민감성",2026.05.05,3,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 나쁘지 않아요.,"수분감, 촉촉함",4.23,,,
1042,73,딥 클린 폼 클렌저 수분초 히알루론 폼,자유로운강아지882,수부지,보습,2025.01.29,4,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 재구매 의사 있어요!,"수분감, 촉촉함",4.23,https://drive.google.com/file/d/1LTB4Pez0Lqho70rh1rpwBt1v5cWomPeB/view?usp=drive_link,,
1043,73,딥 클린 폼 클렌저 수분초 히알루론 폼,평범한사자943,수부지,보습,2025.07.26,3,촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 나쁘지 않아요.,"수분감, 촉촉함",4.23,,,
1044,73,딥 클린 폼 클렌저 수분초 히알루론 폼,엉뚱발랄한토끼435,수부지,민감성,2026.02.16,5,수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 추천하고 싶어요.,"촉촉함, 수분감",4.23,,,
1045,73,딥 클린 폼 클렌저 수분초 히알루론 폼,산뜻한앵무새399,건성,민감성,2026.05.11,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 다음에도 또 살 것 같아요.,"촉촉함, 수분감",4.23,https://drive.google.com/file/d/1LTB4Pez0Lqho70rh1rpwBt1v5cWomPeB/view?usp=drive_link,,
1046,73,딥 클린 폼 클렌저 수분초 히알루론 폼,촉촉한여우899,건성,"민감성, 보습",2026.03.27,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요. 수분감이 오래가서 좋아요.,"촉촉함, 수분감",4.23,,,
1047,73,딥 클린 폼 클렌저 수분초 히알루론 폼,소심한라쿤308,수부지,없음,2026.08.04,4,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 재구매는 고민중이에요.,"촉촉함, 수분감",4.23,https://drive.google.com/file/d/1rPo96rJLIfpdKl1RadKV5SeS8__68Plh/view?usp=drive_link,https://drive.google.com/file/d/19Tc7qiERZppFCpoC5gyDR89Sar8pYOiy/view?usp=drive_link,
1048,73,딥 클린 폼 클렌저 수분초 히알루론 폼,잠많은토끼545,건성,"보습, 민감성",2025.04.10,5,촉촉해서 만족스러워요. 다음에도 또 살 것 같아요.,"수분감, 촉촉함",4.23,,,
1049,73,딥 클린 폼 클렌저 수분초 히알루론 폼,활발한코알라501,건성,보습,2025.10.28,5,수분감이 오래가서 좋아요. 촉촉해서 만족스러워요.,"촉촉함, 수분감",4.23,,,
1050,73,딥 클린 폼 클렌저 수분초 히알루론 폼,평범한여우21,건성,민감성,2025.09.22,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 추천하고 싶어요.,"수분감, 촉촉함",4.23,https://drive.google.com/file/d/19Tc7qiERZppFCpoC5gyDR89Sar8pYOiy/view?usp=drive_link,,
1051,73,딥 클린 폼 클렌저 수분초 히알루론 폼,촉촉한수달695,건성,"민감성, 보습",2025.08.28,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 다음에도 또 살 것 같아요.,"수분감, 촉촉함",4.23,,,
1052,73,딥 클린 폼 클렌저 수분초 히알루론 폼,상큼한라쿤45,건성,민감성,2025.01.29,4,촉촉해서 만족스러워요. 가격도 합리적이라 좋았어요.,"수분감, 촉촉함",4.23,,,
1053,73,딥 클린 폼 클렌저 수분초 히알루론 폼,배부른호랑이257,수부지,"보습, 민감성, 미백/잡티",2025.02.13,5,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 촉촉해서 만족스러워요. 가격도 합리적이라 좋았어요.,"촉촉함, 수분감",4.23,https://drive.google.com/file/d/1rPo96rJLIfpdKl1RadKV5SeS8__68Plh/view?usp=drive_link,,
1054,73,딥 클린 폼 클렌저 수분초 히알루론 폼,배부른거북이103,건성,보습,2026.08.23,5,수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 만족스러운 소비였어요.,"촉촉함, 수분감",4.23,,,
1055,73,딥 클린 폼 클렌저 수분초 히알루론 폼,산뜻한토끼136,수부지,"민감성, 보습",2026.07.23,4,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요.,"수분감, 촉촉함",4.23,,,
1056,73,딥 클린 폼 클렌저 수분초 히알루론 폼,활발한해달644,수부지,없음,2026.08.23,2,촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 기대만큼은 아니었어요.,"수분감, 촉촉함",4.23,https://drive.google.com/file/d/1rPo96rJLIfpdKl1RadKV5SeS8__68Plh/view?usp=drive_link,,
1057,73,딥 클린 폼 클렌저 수분초 히알루론 폼,촉촉한코알라225,건성,민감성,2026.08.19,4,'딥 클린 폼 클렌저 수분초 히알루론 폼' 사용 후기예요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 만족스러운 소비였어요.,"촉촉함, 수분감",4.23,,,
1058,73,딥 클린 폼 클렌저 수분초 히알루론 폼,대담한나비118,건성,"민감성, 보습",2025.07.18,5,수분감이 오래가서 좋아요. 추천하고 싶어요.,"촉촉함, 수분감",4.23,,,
1059,73,딥 클린 폼 클렌저 수분초 히알루론 폼,사랑스런부엉이216,건성,"민감성, 보습",2026.07.30,4,수분감이 오래가서 좋아요. 촉촉해서 만족스러워요.,"촉촉함, 수분감",4.23,,,
1060,73,딥 클린 폼 클렌저 수분초 히알루론 폼,배부른펭귄745,건성,"민감성, 보습",2025.10.10,5,촉촉해서 만족스러워요. 수분감이 오래가서 좋아요.,"촉촉함, 수분감",4.23,https://drive.google.com/file/d/1LTB4Pez0Lqho70rh1rpwBt1v5cWomPeB/view?usp=drive_link,,
1061,73,딥 클린 폼 클렌저 수분초 히알루론 폼,말랑한고래761,수부지,"민감성, 보습",2026.04.12,4,촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 촉촉함",4.23,,,
1062,73,딥 클린 폼 클렌저 수분초 히알루론 폼,새침한벌새914,건성,민감성,2026.03.30,3,촉촉해서 만족스러워요.,"수분감, 촉촉함",4.23,,,
1063,73,딥 클린 폼 클렌저 수분초 히알루론 폼,든든한기린176,수부지,"민감성, 보습, 모공",2025.10.30,4,수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 가격도 합리적이라 좋았어요.,"수분감, 촉촉함",4.23,,,
1064,74,밸런스풀 시카 포어 클렌징 폼,상큼한두더지965,지성,"여드름, 민감성",2025.11.03,5,산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"약알칼리성, 뽀득함, 산뜻함",4.28,,,
1065,74,밸런스풀 시카 포어 클렌징 폼,자유로운판다886,지성,"여드름, 민감성",2025.06.11,5,산뜻하게 발려서 좋아요.,"약알칼리성, 산뜻함, 뽀득함",4.28,,,
1066,74,밸런스풀 시카 포어 클렌징 폼,반짝이는곰돌이672,복합성,여드름,2025.09.17,4,산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"뽀득함, 산뜻함, 약알칼리성",4.28,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,,
1067,74,밸런스풀 시카 포어 클렌징 폼,조용한병아리884,복합성,없음,2025.01.29,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"뽀득함, 약알칼리성, 산뜻함",4.28,,,
1068,74,밸런스풀 시카 포어 클렌징 폼,행복한두더지793,복합성,"여드름, 민감성",2025.03.02,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"약알칼리성, 산뜻함, 뽀득함",4.28,,,
1069,74,밸런스풀 시카 포어 클렌징 폼,행복한앵무새72,지성,"민감성, 여드름",2026.06.16,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요.,"산뜻함, 약알칼리성, 뽀득함",4.28,,,
1070,74,밸런스풀 시카 포어 클렌징 폼,소심한얼룩말205,복합성,"민감성, 여드름",2025.02.11,5,추천하고 싶어요.,"산뜻함, 약알칼리성, 뽀득함",4.28,https://drive.google.com/file/d/1Giq9JpOgHUyb6djtcGLJeh4J9PTPBFzt/view?usp=drive_link,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,
1071,74,밸런스풀 시카 포어 클렌징 폼,부지런한판다542,지성,"여드름, 민감성",2026.06.12,4,산뜻하게 발려서 좋아요. 재구매는 고민중이에요.,"산뜻함, 약알칼리성, 뽀득함",4.28,,,
1072,74,밸런스풀 시카 포어 클렌징 폼,반짝이는호랑이805,복합성,"여드름, 민감성",2025.05.01,5,만족스러운 소비였어요.,"약알칼리성, 뽀득함",4.28,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,,
1073,74,밸런스풀 시카 포어 클렌징 폼,용감한호랑이777,복합성,"여드름, 민감성",2026.06.13,4,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요.,"산뜻함, 약알칼리성, 뽀득함",4.28,,,
1074,74,밸런스풀 시카 포어 클렌징 폼,사랑스런알파카47,복합성,민감성,2025.02.26,5,산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"뽀득함, 산뜻함, 약알칼리성",4.28,,,
1075,74,밸런스풀 시카 포어 클렌징 폼,대담한기린441,지성,"민감성, 여드름",2026.09.11,4,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 재구매는 고민중이에요.,"약알칼리성, 산뜻함, 뽀득함",4.28,https://drive.google.com/file/d/1Giq9JpOgHUyb6djtcGLJeh4J9PTPBFzt/view?usp=drive_link,,
1076,74,밸런스풀 시카 포어 클렌징 폼,평범한부엉이127,복합성,"민감성, 여드름",2026.07.13,5,산뜻하게 발려서 좋아요.,"산뜻함, 뽀득함",4.28,,,
1077,74,밸런스풀 시카 포어 클렌징 폼,익명의기린746,복합성,여드름,2026.03.23,4,산뜻하게 발려서 좋아요.,"산뜻함, 뽀득함, 약알칼리성",4.28,https://drive.google.com/file/d/1yNKzp1_kvqoR9_4stWUT5xARoE4K8Qb-/view?usp=drive_link,,
1078,74,밸런스풀 시카 포어 클렌징 폼,행복한오리461,지성,여드름,2026.06.22,3,산뜻하게 발려서 좋아요.,"뽀득함, 약알칼리성, 산뜻함",4.28,,,
1079,74,밸런스풀 시카 포어 클렌징 폼,몽글몽글한알파카479,복합성,"여드름, 민감성",2025.12.18,5,산뜻하게 발려서 좋아요. 추천하고 싶어요.,"약알칼리성, 뽀득함, 산뜻함",4.28,,,
1080,74,밸런스풀 시카 포어 클렌징 폼,부지런한호랑이904,지성,민감성,2026.07.18,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"약알칼리성, 산뜻함, 뽀득함",4.28,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,,
1081,74,밸런스풀 시카 포어 클렌징 폼,씩씩한다람쥐593,복합성,"여드름, 민감성",2025.12.19,3,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요. 그냥 무난하게 쓰고 있어요.,"산뜻함, 약알칼리성, 뽀득함",4.28,,,
1082,74,밸런스풀 시카 포어 클렌징 폼,행복한여우929,지성,"민감성, 여드름",2026.08.21,1,산뜻하게 발려서 좋아요.,"뽀득함, 산뜻함",4.28,,,
1083,74,밸런스풀 시카 포어 클렌징 폼,촉촉한고슴도치446,복합성,"여드름, 민감성",2026.02.21,3,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요. 재구매는 고민중이에요.,"약알칼리성, 산뜻함",4.28,,,
1084,74,밸런스풀 시카 포어 클렌징 폼,소심한판다864,복합성,여드름,2026.03.29,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 재구매 의사 있어요!,"뽀득함, 약알칼리성, 산뜻함",4.28,https://drive.google.com/file/d/1Giq9JpOgHUyb6djtcGLJeh4J9PTPBFzt/view?usp=drive_link,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,
1085,74,밸런스풀 시카 포어 클렌징 폼,용감한라쿤186,복합성,"민감성, 여드름, 보습",2026.09.09,4,재구매 의사 있어요!,"산뜻함, 뽀득함, 약알칼리성",4.28,,,
1086,74,밸런스풀 시카 포어 클렌징 폼,느긋한앵무새903,지성,민감성,2026.04.23,4,산뜻하게 발려서 좋아요. 가격도 합리적이라 좋았어요.,"뽀득함, 약알칼리성, 산뜻함",4.28,https://drive.google.com/file/d/1yNKzp1_kvqoR9_4stWUT5xARoE4K8Qb-/view?usp=drive_link,,
1087,74,밸런스풀 시카 포어 클렌징 폼,씩씩한수달633,복합성,민감성,2025.11.12,4,산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"약알칼리성, 뽀득함, 산뜻함",4.28,,,
1088,74,밸런스풀 시카 포어 클렌징 폼,활발한부엉이35,복합성,민감성,2025.02.28,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 만족스러운 소비였어요.,"약알칼리성, 뽀득함, 산뜻함",4.28,,,
1089,74,밸런스풀 시카 포어 클렌징 폼,게으른기린877,지성,여드름,2026.02.01,4,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요. 산뜻하게 발려서 좋아요. 가격도 합리적이라 좋았어요.,"산뜻함, 뽀득함, 약알칼리성",4.28,https://drive.google.com/file/d/1VPTfn5efEadanDdo0_zSAABdgkvJjNpP/view?usp=drive_link,https://drive.google.com/file/d/1yNKzp1_kvqoR9_4stWUT5xARoE4K8Qb-/view?usp=drive_link,
1090,74,밸런스풀 시카 포어 클렌징 폼,몽글몽글한오리450,지성,"민감성, 여드름",2026.01.02,4,산뜻하게 발려서 좋아요.,"산뜻함, 뽀득함, 약알칼리성",4.28,,,
1091,74,밸런스풀 시카 포어 클렌징 폼,몽글몽글한곰돌이217,지성,"여드름, 민감성",2025.07.11,4,산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"뽀득함, 약알칼리성, 산뜻함",4.28,,,
1092,74,밸런스풀 시카 포어 클렌징 폼,말랑한거북이179,복합성,민감성,2025.05.18,5,'밸런스풀 시카 포어 클렌징 폼' 사용 후기예요.,"약알칼리성, 뽀득함, 산뜻함",4.28,,,
1093,75,화산송이 바하 모공 폼 클렌징,조용한오리82,지성,민감성,2025.09.20,3,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 그냥 무난하게 쓰고 있어요.,"쫀쫀함, 산뜻함",4.45,,,
1094,75,화산송이 바하 모공 폼 클렌징,배부른거북이391,건성,"여드름, 민감성",2025.03.11,5,산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 가격도 합리적이라 좋았어요.,"쫀쫀함, 산뜻함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,,
1095,75,화산송이 바하 모공 폼 클렌징,명랑한두더지962,건성,"민감성, 여드름",2026.06.26,5,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 가격도 합리적이라 좋았어요.,"산뜻함, 쫀쫀함",4.45,,,
1096,75,화산송이 바하 모공 폼 클렌징,귀여운수달535,지성,여드름,2026.05.15,3,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요.,"쫀쫀함, 산뜻함",4.45,,,
1097,75,화산송이 바하 모공 폼 클렌징,행복한오리843,지성,"민감성, 여드름",2026.07.13,4,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요.,"쫀쫀함, 산뜻함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,,
1098,75,화산송이 바하 모공 폼 클렌징,사랑스런고래967,건성,"민감성, 여드름",2025.04.09,5,쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"산뜻함, 쫀쫀함",4.45,,,
1099,75,화산송이 바하 모공 폼 클렌징,잠많은라쿤629,지성,없음,2026.01.03,4,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 만족스러운 소비였어요.,"산뜻함, 쫀쫀함",4.45,,,
1100,75,화산송이 바하 모공 폼 클렌징,행복한해달229,지성,민감성,2025.07.27,5,쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요. 가격도 합리적이라 좋았어요.,"산뜻함, 쫀쫀함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,https://drive.google.com/file/d/1yNKzp1_kvqoR9_4stWUT5xARoE4K8Qb-/view?usp=drive_link,
1101,75,화산송이 바하 모공 폼 클렌징,자유로운사자811,건성,여드름,2025.04.25,4,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요.,"산뜻함, 쫀쫀함",4.45,,,
1102,75,화산송이 바하 모공 폼 클렌징,자유로운펭귄595,지성,"민감성, 여드름",2026.01.23,4,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 가격도 합리적이라 좋았어요.,"산뜻함, 쫀쫀함",4.45,https://drive.google.com/file/d/1yNKzp1_kvqoR9_4stWUT5xARoE4K8Qb-/view?usp=drive_link,,
1103,75,화산송이 바하 모공 폼 클렌징,평범한벌새533,건성,없음,2025.12.08,5,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 다음에도 또 살 것 같아요.,"산뜻함, 쫀쫀함",4.45,,,
1104,75,화산송이 바하 모공 폼 클렌징,행복한나비615,지성,"여드름, 민감성",2025.05.12,5,산뜻하게 발려서 좋아요.,"쫀쫀함, 산뜻함",4.45,,,
1105,75,화산송이 바하 모공 폼 클렌징,배부른문어64,건성,"민감성, 여드름",2026.02.04,5,산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 추천하고 싶어요.,"산뜻함, 쫀쫀함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,,
1106,75,화산송이 바하 모공 폼 클렌징,엉뚱한코알라225,지성,"민감성, 여드름",2025.08.21,5,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 다음에도 또 살 것 같아요.,"쫀쫀함, 산뜻함",4.45,,,
1107,75,화산송이 바하 모공 폼 클렌징,촉촉한수달882,건성,"민감성, 여드름",2025.08.10,5,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요.,"쫀쫀함, 산뜻함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,,
1108,75,화산송이 바하 모공 폼 클렌징,엉뚱발랄한해달74,지성,"여드름, 민감성",2026.02.11,5,쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"쫀쫀함, 산뜻함",4.45,,,
1109,75,화산송이 바하 모공 폼 클렌징,엉뚱한고양이267,건성,"민감성, 여드름",2025.03.31,4,산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 재구매 의사 있어요!,"산뜻함, 쫀쫀함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,,
1110,75,화산송이 바하 모공 폼 클렌징,엉뚱한다람쥐87,지성,없음,2025.04.07,5,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"쫀쫀함, 산뜻함",4.45,,,
1111,75,화산송이 바하 모공 폼 클렌징,촉촉한고슴도치656,지성,민감성,2025.12.01,5,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요. 다음에도 또 살 것 같아요.,"쫀쫀함, 산뜻함",4.45,,,
1112,75,화산송이 바하 모공 폼 클렌징,배부른호랑이115,건성,"민감성, 여드름",2026.01.29,4,'화산송이 바하 모공 폼 클렌징' 사용 후기예요. 산뜻하게 발려서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 가격도 합리적이라 좋았어요.,"산뜻함, 쫀쫀함",4.45,,,
1113,75,화산송이 바하 모공 폼 클렌징,소심한벌새897,지성,"민감성, 여드름",2026.01.21,4,쫀쫀한 텍스처가 마음에 들어요. 산뜻하게 발려서 좋아요.,"산뜻함, 쫀쫀함",4.45,https://drive.google.com/file/d/1CRjWVVLOVDLN4lniwlI5U4tJpe_gzs5W/view?usp=drive_link,https://drive.google.com/file/d/1yNKzp1_kvqoR9_4stWUT5xARoE4K8Qb-/view?usp=drive_link,
